condition,step,episode_index,success,sum_reward,max_reward,video_path
long,100000,2,true,219.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_150_seed1000/eval/videos_step_100000/aloha_0/eval_episode_2.mp4
long,100000,3,true,260.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_150_seed1000/eval/videos_step_100000/aloha_0/eval_episode_3.mp4
short,020000,0,false,0.0,0.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_020000/aloha_0/eval_episode_0.mp4
short,020000,1,false,144.0,1.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_020000/aloha_0/eval_episode_1.mp4
short,020000,2,false,87.0,2.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_020000/aloha_0/eval_episode_2.mp4
short,020000,3,false,138.0,2.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_020000/aloha_0/eval_episode_3.mp4
short,040000,0,true,235.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_040000/aloha_0/eval_episode_0.mp4
short,040000,1,true,156.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_040000/aloha_0/eval_episode_1.mp4
short,040000,2,false,93.0,2.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_040000/aloha_0/eval_episode_2.mp4
short,040000,3,false,11.0,1.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_040000/aloha_0/eval_episode_3.mp4
short,060000,0,false,123.0,1.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_060000/aloha_0/eval_episode_0.mp4
short,060000,1,true,168.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_060000/aloha_0/eval_episode_1.mp4
short,060000,2,true,238.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_060000/aloha_0/eval_episode_2.mp4
short,060000,3,true,270.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_060000/aloha_0/eval_episode_3.mp4
short,080000,0,false,56.0,1.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_080000/aloha_0/eval_episode_0.mp4
short,080000,1,true,162.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_080000/aloha_0/eval_episode_1.mp4
short,080000,2,false,47.0,1.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_080000/aloha_0/eval_episode_2.mp4
short,080000,3,true,284.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_080000/aloha_0/eval_episode_3.mp4
short,100000,0,true,294.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_100000/aloha_0/eval_episode_0.mp4
short,100000,1,true,174.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_100000/aloha_0/eval_episode_1.mp4
short,100000,2,true,196.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_100000/aloha_0/eval_episode_2.mp4
short,100000,3,true,293.0,4.0,/root/shared-nvme/act-robot-learning/experiments/chunk_ablation/act_aloha_chunk_50_seed1000/eval/videos_step_100000/aloha_0/eval_episode_3.mp4
