condition,n_seeds,mean_success_rate_pct,sample_std_success_rate_pct,min_success_rate_pct,max_success_rate_pct,mean_avg_sum_reward
baseline,3,72.67,10.26,64.0,84.0,205.92
short,3,76.00,8.72,70.0,86.0,220.50
